I1411610,微生物的培养及食品中微生物的检测
I0809710,文档高级排版技术与应用
A0609620,问题驱动的创新与创业
I1000510,无人机飞行控制及地面站实验
W0700125,无人机遥感
I0601020,无人机遥感概论
X0100210,无线人工智能前沿探秘
H0109320,无线通信的朋友还是敌人：噪声、衰落和干扰
A9905420,舞蹈鉴赏
I9901820,舞蹈欣赏与实践
S0321620,物理化学实验Ⅰ
I1200320,物理学简史
U1215320,物理学与人类文明
S2705610,物理综合创新项目
U0114410,物联天下
H0515310,物联天下，传感先行－传感器导论
H0214015,物联网多元传感探测芯片技术
H0109410,物联网技术前沿
A9905120,戏剧鉴赏
L0811120,系统级软件综合课程设计
K1400720,细胞生物学实验
H0601510,先进传感无损检测前沿技术
H0215320,先进电子材料及器件前沿专题
H0109610,现代阵列并行信号处理技术
I0819410,小波与引力波基础及前沿进展
C2700110,心理健康与人格培养
H0200910,新技术专题（二）隐身技术与电子陶瓷材料
H0306510,新能源动力系统技术
I0821110,新生素质教育
I0101110,新体制雷达技术前沿
I1401510,新闻传播名著鉴赏
H0922620,新信息源：重新定义大数据
H0813910,新一代移动互联网前沿
H0111410,信号与信息处理技术前沿讲座
I0200520,信息安全概论
U0113810,信息感知与人类的生产生活
I7800515,信息检索与利用
I0300420,信息论导论
J9757310,学生心理素质养成工程（初阶）
J9765710,学生心理素质养成工程（高阶）
A0800120,学术规范与论文写作
B2705120,学术英语写作与交流
I0100420,学业认知与职业规划
I0105710,一专多能的光纤
K1404510,医疗电子仪器设计综合实验
H1301315,医学信息学
A9905020,艺术导论
I9700420,艺术与心理健康
I9902120,音乐基础与视唱
A9904920,音乐鉴赏
A1511420,营销管理：互联网思维与应用
I1614520,影视节目制作与欣赏
I9905120,影视音乐欣赏
I9902320,应用美术
I6200430,瑜伽
I6200830,瑜伽（提升班）
H1503620,员工关系管理
I0602620,远程温湿度监控系统的设计
H0813610,云计算
D1801050,哲学通论
I1501720,证券投资模拟实验
A1511820,知识产权管理
H1503120,知识产权管理
I7900120,知味
I5700410,职业生涯规划
I1406510,植物鉴赏
H0406610,智能电网与能源互联网
H0601815,智能科学与技术
I0111540,智能嵌入式系统设计
U0114510,智能协同无线通信之路
B2700220,中国近现代史纲要
I1614320,中国土地管理现状及制度改革专题
I9903520,中国音乐发展史
I1008820,中医基础理论及养生
I0900120,中医基础理论与养生
I9700920,种植：体会生命的力量
L0304120,专题设计（综合课程设计）
F0511310,专业导论
L1610610,专业实习
I0409815,篆刻艺术基础
K0704020,资源环境专题信息采集与分析
K0600110,自动控制原理实验
H0215520,自旋电子学前沿理论
I0602450,综合（专题）课程设计
J1207720,综合课程设计
L0106220,综合课程设计
L1506210,综合课程设计：企业管理沙盘模拟
L1506310,综合课程设计：企业经营决策模拟
K0310710,综合课程实验
L0802010,综合素质实践Ⅰ
L0802110,综合素质实践Ⅱ
U1012315,走进信息时代的航空航天工程
K1006120,GNSS软件接收机设计实验
UoG14003,VLSI设计
A0421220,成电英才创课
I0819640,成电英才创课
H0108610,创新思维与发明方法
L9801210,当兵锻炼
H1211320,电真空综合实验II（器件）
L0201210,电装实习
L0205610,电子设计实践
I0108710,电子系统设计与仿真
L0101620,电子系统综合设计
H1213910,电子信息科学与技术导论——挑战性实验I
H1211420,电子信息科学与技术综合实验II
I9906120,二胡进阶教学
I0280710,飞行器隐身技术的计算机辅助设计
K0307030,分析化学实验
H0704720,高性能地学计算导论
K0511730,工程光学基础实验
H0420930,工程机器人设计与制作
K1008010,工程力学实验
L2704520,工程实践创新项目II
L0205740,工程实践训练
H0512315,光电图像处理系统实验
G0511525,光纤通信
L0414708,基础工程训练II
K0921810,基于Web应用的网络攻防综合实验
K0921115,基于互联网+的全国大学生信息安全赛挑战性实验
H1206620,晶体管与信息时代
I0281110,抗电磁干扰滤波器的设计及制作
K0913780,科学研究及工程能力训练（现代软件工程项目企业实习）
UoG14002,控制
L0911620,企业实训
G0420720,嵌入式系统设计
A7302210,人类文明经典赏析
K0919910,软件定义网络SDN流控调度设计与应用综合实验
G0916820,色彩与构图
I0208110,射频电路实验--半双工调频无线对讲机的测试与设计
I0207810,射频电路实验--锁相频率合成器的测试与设计
L1400110,生产实习
H1101920,数据科学中的数学
UoG14004,数字通信
H0912220,网络安全企业合作课程 II
H0912120,网络安全企业合作课程I
I0280810,微电子工艺实验
K0210110,微电子基础物理实验
K0203710,微电子器件实验
K0307230,物理化学实验Ⅰ
I0281020,小型高效驱动开关电源的设计及制作
H0915710,信息科学前沿讲座
L0909310,语言类项目实践（结合语言、数据结构）
G0508910,专业方向实验（光通信与光电工程）
G0511610,专业方向实验（信息显示与光电技术）
L0414810,专业基础实践I
I0318610,综合化学实验
L2701640,综合科研训练
K0211540,综合课程设计A
L0203820,综合课程设计B
K0916410,综合课程设计I
K0916520,综合课程设计II
K0916320,综合课程设计III
G0920230,ARM处理器体系结构及应用
H0206520,ASIC导论
H0915630,C++程序设计
R0821920,C++程序设计
G0417020,CAD/CAE技术
G0925130,COBOL程序设计
E0603020,C语言
H0103520,C语言
H0640220,C语言
E0914940,C语言程序设计
H1003030,C语言程序设计
IntP0900230,C语言程序设计
IntS0800440,C语言程序设计
IntS0900141,C语言程序设计
K0900140,C语言程序设计
R1014620,C语言程序设计
H0104320,DSP技术
H0105020,DSP技术
H0911230,DSP技术
H1404425,EDA技术
H0904220,FPGA硬件设计
K3401930,IC综合实验1（物理、器件、工艺、封测）
K3400250,IC综合实验2（IC设计）
F0901620,IT工程师职业基础
H0900310,IT项目管理
B1701920,IT英语
H0918220,Java EE 企业应用开发技术
H0904320,Linux操作系统编程
H0103830,MATLAB与数值分析
I0900330,Oracle数据库应用开发
G0101830,TCP/IP协议
H0918120,UNIX/Linux操作系统编程
G0925530,UNIX操作系统基础
H0918020,Windows操作系统编程
H0202820,半导体光电器件
E0302640,半导体物理
F1201940,半导体物理
E0203345,半导体物理A
E0213135,半导体物理A
E0200530,半导体物理B
E0211935,半导体物理C
E3402235,半导体物理C
B2006410,棒垒球A
B2075010,棒垒球D
G1734020,笔译基础 II
H1798010,毕业论文写作
UoG11017,编程导论
G0920030,编译技术
H0918520,编译技术
E0801035,编译原理
H0313820,表面科学与外延生长导论
P1302820,病理学
F0200930,材料分析基础
F0212125,材料分析基础
H1210730,材料分析基础
E0400440,材料力学
E0401045,材料力学
F0200830,材料物理化学
H1202930,材料物理及应用
G1501730,财务管理
H1608730,财务管理
E0901040,操作系统基础
R1619320,城市管理学
E1406640,程序设计（C与C++）
F0815120,程序设计（C与C++）
G0801240,程序设计（C与C++）
D2700930,程序设计方法
E0800230,程序设计基础
H1404540,程序设计基础
R0823820,程序设计基础
E0901840,程序设计与算法基础I
R1742440,初级日语口语
H0202620,传感技术
F0600230,传感器原理及应用
G0508530,传感器原理与技术
H0403320,传热学基础
F1513320,创新投融资管理
H1731820,创意英文写作 I
I1610520,创造性思维与创新方法
H1400220,磁共振成像原理与技术
G0200735,磁性物理
G0212330,磁性物理
H0914520,大数据计算技术
H1612020,大数据政策
G0925420,大型机DB2
G0925030,大型机操作系统
H0929820,大型机应用基础
D1406840,大学化学
D2702420,大学化学
E0400320,大学化学
P1412635,大学化学
IntE0402020,大学计算机基础
P0427620,大学计算机基础
H1400710,大学生职业生涯教育
B2000110,大学体育I
B2000210,大学体育II
B2000410,大学体育IV
D1213640,大学物理
D1200340,大学物理Ⅰ
D1208260,大学物理Ⅰ
D1200440,大学物理Ⅱ
D1213730,大学物理I
D2700755,大学物理I
D2703260,大学物理I
IntP1200130,大学物理I
D1208360,大学物理II
D1213830,大学物理II
D2703360,大学物理II
E1200230,大学物理II
IntP1200230,大学物理II
UoG12003,大学物理II
K1200520,大学物理实验 I
K1200620,大学物理实验 II
S1214710,大学物理实验I
YK1700140,大学英语I
YK1700440,大学语文I
H0104120,单片机原理及应用
H0202630,单片机原理与应用
B1717820,当代中国
G1008120,导航原理基础
H1203030,等离子体物理概论
R1619930,地理信息系统技术与应用
M1744630,第二外语（德语）Ⅰ
B1703730,第二外语（德语）Ⅲ
