G0212330,磁性物理
G0217220,混合集成电路与器件
G0217430,电介质物理与磁性物理
G0302945,材料科学与工程导论
G0308220,试验设计方法
G0312630,印制电路原理和工艺
G0312720,电子工艺化学原理
G0312820,印制电路先进制造技术
G0334230,材料制备与表征
G0389625,新能源材料与器件导论
G0400440,自动控制原理
G0400540,电机学
G0400625,电力电子技术
G0400745,电力系统分析
G0401730,CAD/CAE/CAM技术
G0401830,现代设计方法
G0401920,数控加工技术
G0402020,工程材料/互换性技术
G0402120,工程测量与传感技术
G0402330,工业控制器原理及应用技术
G0402425,机电驱动技术
G0405730,电气测量
G0405835,电力拖动自动控制系统
G0406025,供电技术
G0407720,质量控制与管理
G0407920,人因工程学
G0414330,机电系统计算机控制技术
G0415720,生产与运作管理
G0416230,电力系统分析
G0416320,继电保护
G0416725,可靠性工程
G0416820,生产系统建模与仿真
G0417020,CAD/CAE技术
G0417125,工程测量与传感技术
G0417220,现代设计方法
G0420720,嵌入式系统设计
G0420820,机器人驱动技术
G0500320,光电材料与器件
G0500425,真空技术
G0500540,电子离子光学
G0500625,光电检测技术
G0501120,光电材料与器件
G0501430,微波技术
G0502510,专业方向实验（物理电子技术）
G0505510,专业方向实验（传感网技术）
G0508425,无线传感器网络
G0508530,传感器原理与技术
G0508630,光电探测原理
G0508835,激光原理与技术
G0508910,专业方向实验（光通信与光电工程）
G0509025,液晶显示技术
G0511425,集成光学与器件
G0511525,光纤通信
G0511610,专业方向实验（信息显示与光电技术）
G0600130,过程控制与自动化仪表
G0600240,嵌入式系统及应用
G0600330,计算机控制技术
G0602220,精密仪器设计基础
G0610170,电子测量原理与测试系统
G0610220,光学工程与精密仪器
G0610350,射频电路与微波技术
G0620145,现代控制理论（含计算机控制）
G0620240,过程控制系统（含过控仪表）
G0620355,运动控制系统（含电拖基础）
G0700830,遥感原理
G0701130,数字图像处理
G0705830,环境工程学
G0705930,环境监测
G0706220,环境影响评价
G0801240,程序设计（C与C++）
G0801335,软件工程及应用（Java）
G0801530,数据库原理及应用
G0801625,计算机系统结构
G0801730,汇编语言与微机接口技术
G0801835,嵌入式系统及应用
G0805720,计算机系统与网络安全技术
G0805820,系统与数据恢复技术
G0805920,计算机病毒原理与防范
G0808630,音视频处理技术
G0808730,计算机视觉
G0810720,网络与系统攻击技术
G0815020,“互联网+”产业方向专题讲座
G0815820,计算机组成与结构
G0815920,软件技术基础
G0817020,互联网与计算智能
G0817230,软件工程及应用（Java）
G0818530,数字图像处理
G0820240,嵌入式处理器原理及应用
G0820340,计算机网络编程
G0820440,嵌入式系统及应用
G0900120,电子电路基础
G0910030,随机信号分析
G0910150,数字信号处理
G0910330,信息论与信息编码基础
G0912750,现代信息系统原理
G0914430,现代密码学
G0915020,软件项目及配置管理
G0915120,软件体系架构与设计模式
G0915230,软件测试与质量保证
G0915320,软件安全设计
G0916625,网络安全协议
G0919730,软件工程基础
G0920030,编译技术
G0920230,ARM处理器体系结构及应用
G0920325,嵌入式操作系统
G0920525,嵌入式网络编程
G0921730,汇编语言与微机接口技术
G0925030,大型机操作系统
G0925230,交易中间件技术CICS
G0925420,大型机DB2
G0925530,UNIX操作系统基础
G0931330,网络安全技术
G0931420,网络安全协议
G0931520,信息安全工程
G0945230,计算机动画
G0945520,数字图像处理
G0945630,数字娱乐软件架构
G0945720,高级建模技术
G1000520,飞行力学基础
G1000820,机载电子系统
G1000920,系统工程导论
G1008120,导航原理基础
G1008320,飞行器测控通信原理
G1008720,临近空间测控通信技术
G1009020,空间交通管理
G1009120,飞行器系统设计
G1103330,抽象代数
G1103430,数学物理方程
G1103530,随机过程
G1103830,计算方法
G1103930,最优化方法
G1104030,微分方程数值解
G1104130,数据结构
G1104230,数据库原理及其应用
G1104330,算法分析与设计
G1104430,计算机操作系统
G1120840,泛函分析
G1202640,固体物理学
G1202740,微波技术基础
G1202830,微波测量
G1210530,理论力学
G1211230,电波传播与天线
G1303450,护理学基础I
G1303540,护理学基础II
G1303640,健康评估
G1400130,医学成像技术
G1400430,生物医学信号处理
G1400720,基因工程
G1400915,细胞工程
G1401020,发酵工程
G1404325,医学仪器原理
G1405010,酶工程
G1407130,数据挖掘技术
G1407220,软件技术基础
G1407330,数据库原理及应用
G1407520,统计分析软件
G1407615,基因工程
G1408020,生物信息学
G1408210,发酵工程
G1501620,人力资源管理
G1501730,财务管理
G1501820,战略管理
G1502030,计量经济学
G1502130,金融衍生工具
G1502520,供应链管理
G1502720,电子商务经济学
G1506720,中级微观经济学
G1506820,金融数学
G1509430,管理沟通
G1600940,行政法与行政诉讼法学
G1602430,公共组织行为学
G1602530,现代城市管理
G1602630,电子政务原理与实务
G1605430,劳动法与社会保障法学
G1605530,环境法与资源保护法学
G1608140,信息系统开发与管理
G1690620,信息咨询
G1716520,汉译英
G1719320,跨文化交际
G1721720,翻译理论与实践II
G1725920,法国文学II
G1726120,法国社会与文化II
G1729420,高级法语写作 II
G1733920,笔译基础I
G1762920,英译汉
G3402540,微电子器件
G3402720,集成电路工艺
G3402830,模拟集成电路原理
G3402930,数字集成电路原理
G3404330,电子设计自动化技术A
G7300110,艺术概论
G7300310,实验艺术
G7300410,VR入门
G7300510,互动体验
G7300610,UI设计
H0100910,数字无线电系统设计与验证综合实验
H0102440,软件技术基础
H0102520,编码原理
H0102720,网络系统工程
H0102830,网络软件设计
H0102930,交换原理
H0103320,信息可视化
H0103420,智能信息处理
H0103440,高级语言程序设计
H0103520,C语言
H0103530,光电子学基础
H0103730,数字集成电路与系统设计（ASIC设计）
H0103830,MATLAB与数值分析
H0103920,光纤技术
H0103930,数字图像处理
H0104020,宽带通信网
H0104120,单片机原理及应用
H0104220,多媒体通信
H0104620,模式识别
H0104630,卫星导航原理与应用
H0106520,无线传感网络技术
H0106610,同时同频全双工技术前沿
H0106630,数字系统EDA技术
H0108720,软件无线电实验
H0109410,物联网技术前沿
H0109610,现代阵列并行信号处理技术
H0109710,从4G到5G安全技术探秘
H0110010,卫星通信前沿技术
H0110110,通信网络中的智能信息处理
H0110310,无线网络新技术
H0110720,电子电路基础
H0110820,移动通信与智能终端
H0110920,信号处理系统
H0111120,微嵌系统综合课程设计
H0111310,5G无线接入技术
